Page,Row,Country,Airline,registration,type of aircraft,cn/fn,exreg,mfd,del,QT,Powered by,mtow kg,config,remarks,,,Head:,Email,WEB,TEL,C20,C30,RR,PT6A,C20R,ALL
75,41,Canada,Ornge Air,Head: Mr Rainer Beltzner,Web: www.ornge.ca,,,,,,,,,,#REF!,.,0,0,0,0,,,,,,
75,42,Canada,Ornge Air,o C-GPXO,AgustaWestland AW139,41258,N479SM,0811,0811,2,PWC PT6C-67C,6400,EMS,,#REF!,.,0,0,0,0,,,,,,
75,43,Canada,Ornge Air,o C-GYNF,AgustaWestland AW139,41226,N417SM,0610,0610,2,PWC PT6C-67C,6400,EMS,,#REF!,.,0,0,0,0,,,,,,
75,44,Canada,Ornge Air,o C-GYNG,AgustaWestland AW139,41227,N419SM,1110,1110,2,PWC PT6C-67C,6400,EMS,,#REF!,.,0,0,0,0,,,,,,
75,45,Canada,Ornge Air,o C-GYNH,AgustaWestland AW139,41230,N453SM,1110,1110,2,PWC PT6C-67C,6400,EMS,,#REF!,.,0,0,0,0,,,,,,
75,46,Canada,Ornge Air,o C-GYNJ,AgustaWestland AW139,41232,N454SM,0810,0810,2,PWC PT6C-67C,6400,EMS,,#REF!,.,0,0,0,0,,,,,,
75,47,Canada,Ornge Air,o C-GYNK,AgustaWestland AW139,41236,C-GNYK,0910,0910,2,PWC PT6C-67C,6400,EMS,,#REF!,.,0,0,0,0,,,,,,
75,48,Canada,Ornge Air,o C-GYNL,AgustaWestland AW139,41238,N458SM,1110,1110,2,PWC PT6C-67C,6400,EMS,,#REF!,.,0,0,0,0,,,,,,
75,49,Canada,Ornge Air,o C-GYNM,AgustaWestland AW139,41245,N467SM,1210,1210,2,PWC PT6C-67C,6400,EMS,,#REF!,.,0,0,0,0,,,,,,
75,50,Canada,Ornge Air,o C-GYNN,AgustaWestland AW139,41247,N468SM,0111,0111,2,PWC PT6C-67C,6400,EMS,,#REF!,.,0,0,0,0,,,,,,
75,51,Canada,Ornge Air,o C-GYNO,AgustaWestland AW139,41250,N470SM,0111,0111,2,PWC PT6C-67C,6400,EMS,,#REF!,.,0,0,0,0,,,,,,
75,52,Canada,Ornge Air,o C-GYNP,AgustaWestland AW139,41257,N478SM,0311,0311,2,PWC PT6C-67C,6400,EMS,,#REF!,.,0,0,0,0,,,,,,
75,53,Canada,Ornge Air,o C-GRXA,Pilatus PC-12NG,1083,N983NG,0109,0309,1,PWC PT6A-67P,4740,EMS,,#REF!,.,0,0,0,0,,,,1,,1
75,54,Canada,Ornge Air,o C-GRXB,Pilatus PC-12NG,1094,N994NG,0209,0409,1,PWC PT6A-67P,4740,EMS,,#REF!,.,0,0,0,0,,,,1,,1
75,55,Canada,Ornge Air,o C-GRXD,Pilatus PC-12NG,1106,N106PC,0209,0409,1,PWC PT6A-67P,4740,EMS,,#REF!,.,0,0,0,0,,,,1,,1
75,56,Canada,Ornge Air,o C-GRXE,Pilatus PC-12NG,1117,N117PZ,0309,0509,1,PWC PT6A-67P,4740,EMS,,#REF!,.,0,0,0,0,,,,1,,1
75,57,Canada,Ornge Air,o C-GRXH,Pilatus PC-12NG,1163,,0909,0909,1,PWC PT6A-67P,4740,EMS,,#REF!,.,0,0,0,0,,,,1,,1
75,58,Canada,Ornge Air,o C-GRXM,Pilatus PC-12NG,1169,,1009,1009,1,PWC PT6A-67P,4740,EMS,,#REF!,.,0,0,0,0,,,,1,,1
75,59,Canada,Ornge Air,o C-GRXN,Pilatus PC-12NG,1224,N224NG,0810,1110,1,PWC PT6A-67P,4740,EMS,,#REF!,.,0,0,0,0,,,,1,,1
75,60,Canada,Ornge Air,o C-GRXO,Pilatus PC-12NG,1225,N225NG,0810,1210,1,PWC PT6A-67P,4740,EMS,,#REF!,.,0,0,0,0,,,,1,,1
75,61,Canada,Ornge Air,o C-GRXP,Pilatus PC-12NG,1249,,0111,0111,1,PWC PT6A-67P,4740,EMS,,#REF!,.,0,0,0,0,,,,1,,1
75,62,Canada,Ornge Air,o C-GRXR,Pilatus PC-12NG,1255,,0111,0111,1,PWC PT6A-67P,4740,EMS,,#REF!,.,0,0,0,0,,,,1,,1
75,63,Canada,Ornge Air,o C-FABH,Sikorsky S-76A,760271,C-GHJV,0085,0602,2,RR 250-C30S,4762,EMS,lsf Canadian Helicopters Ltd,#REF!,.,0,0,0,0,,2,2,,,2
75,64,Canada,Ornge Air,o C-FSBH,Sikorsky S-76A,760168,N5427S,0781,0101,2,RR 250-C30S,4762,EMS,lsf Canadian Helicopters Ltd,#REF!,.,0,0,0,0,,2,2,,,2
75,65,Canada,Ornge Air,o C-GFFJ,Sikorsky S-76A,760138,VH-HUD,0181,0400,2,RR 250-C30,4762,EMS,lsf Canadian Helicopters Ltd,#REF!,.,0,0,0,0,,2,2,,,2
75,66,Canada,Ornge Air,o C-GIMA,Sikorsky S-76A,760018,G-BZAC,1179,1200,2,RR 250-C30,4762,EMS,lsf Canadian Helicopters Ltd,#REF!,.,0,0,0,0,,2,2,,,2
75,67,Canada,Ornge Air,o C-GIMB,Sikorsky S-76A,760111,G-BIAW,1180,0605,2,RR 250-C30,4762,EMS,lsf Canadian Helicopters Ltd,#REF!,.,0,0,0,0,,2,2,,,2
75,68,Canada,Ornge Air,o C-GIMM,Sikorsky S-76A,760044,,0480,0603,2,RR 250-C30,4762,EMS,lsf Canadian Helicopters Ltd,#REF!,.,0,0,0,0,,2,2,,,2
75,69,Canada,Ornge Air,o C-GIMT,Sikorsky S-76A,760130,,0381,0696,2,RR 250-C30,4762,EMS,lsf Canadian Helicopters Ltd,#REF!,.,0,0,0,0,,2,2,,,2
75,70,Canada,Ornge Air,o C-GIMV,Sikorsky S-76A,760005,VH-UXE,0679,0600,2,RR 250-C30,4762,EMS,lsf Canadian Helicopters Ltd,#REF!,.,0,0,0,0,,2,2,,,2
75,71,Canada,Ornge Air,o C-GIMW,Sikorsky S-76A,760226,N76FB,0983,0604,2,RR 250-C30,4762,EMS,lsf Canadian Helicopters Ltd,#REF!,.,0,0,0,0,,2,2,,,2
75,72,Canada,Ornge Air,o C-GIMY,Sikorsky S-76A,760055,N376LL,0281,0607,2,RR 250-C30,4762,EMS,lsf Canadian Helicopters Ltd,#REF!,.,0,0,0,0,,2,2,,,2
75,73,Canada,Ornge Air,o C-GIMZ,Sikorsky S-76A,760169,N399PK,0781,0602,2,RR 250-C30,4762,EMS,lsf Canadian Helicopters Ltd,#REF!,.,0,0,0,0,,2,2,,,2
75,75,Canada,Osprey Wings,"PO Box 990, La Ronge SK S0J 1L0, Canada",Tel: +1 306 635 2112,Fax: +1 306 635 2116 Email: fs.ospreywings@sasktel.net,,,,,,,,,#REF!,X,0,#REF!,0,0,,,,,,
75,76,Canada,Osprey Wings,Head: Mr Garry Thompson,"Web: www.osprey-wings-air.com offers a charter service based on the Churchill River system, Point north Landing and La Ronge.",,,,,,,,,,#REF!,.,0,0,0,0,,,,,,
75,77,Canada,Osprey Wings,o C-FBPK,Beechcraft 1900D,UE-128,N128EU,1294,0211,2,PWC PT6A-67D,7765,Y19,,#REF!,.,0,0,0,0,,,,2,,2
75,78,Canada,Osprey Wings,o C-GURF,Beechcraft 1900D,UE-279,YV1366,1297,0213,2,PWC PT6A-67D,7765,Y19,,#REF!,.,0,0,0,0,,,,2,,2
75,79,Canada,Osprey Wings,o C-GTGP,Beechcraft King Air B200,BB-1292,N333TP,0488,1111,2,PWC PT6A-42,5670,Executive,,#REF!,.,0,0,0,0,,,,2,,2
75,80,Canada,Osprey Wings,o C-FASZ,De Havilland DHC-3T Turbo Otter,463,,0301,0301,1,PWC PT6A-135,3810,Passenger,,#REF!,.,0,0,0,0,,,,1,,1
75,81,Canada,Osprey Wings,o C-FDIZ,De Havilland DHC-3T Turbo Otter,460,,0699,0699,1,PWC PT6A-135,3810,Passenger,,#REF!,.,0,0,0,0,,,,1,,1
75,82,Canada,Osprey Wings,o C-FXRI,De Havilland DHC-3T Turbo Otter,258,,0603,0603,1,PWC PT6A-135,3810,Passenger,,#REF!,.,0,0,0,0,,,,1,,1
75,83,Canada,Osprey Wings,o C-GPHD,De Havilland DHC-3T Turbo Otter,113,,1103,1103,1,PWC PT6A-135,3810,Passenger,,#REF!,.,0,0,0,0,,,,1,,1
75,84,Canada,Osprey Wings,o C-FLXP,De Havilland DHC-6-200 Twin Otter,217,N201EH,0669,0607,2,PWC PT6A-20,5252,Y19,,#REF!,.,0,0,0,0,,,,2,,2
75,85,Canada,Osprey Wings,o C-FVEG,De Havilland DHC-6-300 Twin Otter,260,OH-SLK,1069,0808,2,PWC PT6A-27,5670,Y19,,#REF!,.,0,0,0,0,,,,2,,2
75,86,Canada,Osprey Wings,o C-GIGK,De Havilland DHC-6-300 Twin Otter,492,N300BC,0576,1009,2,PWC PT6A-27,5670,Y19,,#REF!,.,0,0,0,0,,,,2,,2
75,87,Canada,Osprey Wings,o C-GPVQ,De Havilland DHC-6-100 Twin Otter,99,N990KD,0368,0512,2,PWC PT6A-27,5252,Y18,,#REF!,.,0,0,0,0,,,,2,,2
75,88,Canada,Osprey Wings,o C-GQOQ,De Havilland DHC-6-200 Twin Otter,155,EC-BPE,0868,1183,2,PWC PT6A-20,5252,Y19,,#REF!,.,0,0,0,0,,,,2,,2
75,90,Canada,Pacific Air Crane Ltd,"101 Hangar 12, 5225 216 St, Langley BC V2Y 2N3, Canada",,,,,,,,,,,#REF!,X,0,0,0,0,,,,,,
75,91,Canada,Pacific Air Crane Ltd,F: 2005,,,,,,,,,,,#REF!,.,0,0,0,0,,,,,,
75,92,Canada,Pacific Air Crane Ltd,o C-FBDY,Bell 206B JetRanger II,1463,N59584,1074,1205,1,RR 250-C20,1451,Utility,,#REF!,.,0,0,0,0,1,,1,,,1
75,94,Canada,Pacific Coastal Airlines,"4440 Cowley Crescent, Suite 204, Richmond BC V7B 1B8, Canada",,Tel: +1 604 273 8666,Fax: +1 604 273 6864,Email: flightops@pacificcoastal.com,,,,,,,#REF!,X,0,#REF!,0,0,,,,,,
75,95,Canada,Pacific Coastal Airlines,F: 1986,ICAO: PASCO Web: www.pacificcoastal.com,"Offers scheduled, charter and cargo services to 18 destinations in British Columbia, mostly logging communities and fishing lodges.",,,,,,,,,#REF!,.,0,0,0,0,,,,,,
75,96,Canada,Pacific Coastal Airlines,o C-FPCO,Beechcraft 1900C,UB-52,C-GKHB,0686,0506,2,PWC PT6A-65B,7530,Passenger,Stored,#REF!,.,0,0,0,0,,,,2,,2
75,97,Canada,Pacific Coastal Airlines,o C-FPCV,Beechcraft 1900C,UB-9,N189GA,0484,0503,2,PWC PT6A-65B,7530,Y19,,#REF!,.,0,0,0,0,,,,2,,2
75,98,Canada,Pacific Coastal Airlines,o C-FPCX,Beechcraft 1900C,UB-66,OY-JRF,1186,0606,2,PWC PT6A-65B,7530,Y19,Stored,#REF!,.,0,0,0,0,,,,2,,2
75,99,Canada,Pacific Coastal Airlines,o C-GBPC,Beechcraft 1900E,UB-43,N565M,0085,1204,2,PWC PT6A-65B,7530,Y19,,#REF!,.,0,0,0,0,,,,2,,2
75,100,Canada,Pacific Coastal Airlines,o C-GCPZ,Beechcraft 1900C,UB-71,C-GNPG,0387,0310,2,PWC PT6A-65B,7530,Y19,,#REF!,.,0,0,0,0,,,,2,,2
75,101,Canada,Pacific Coastal Airlines,o C-GIPC,Beechcraft 1900C-1,UC-110,N210CU,0690,0206,2,PWC PT6A-65B,7530,Y19,,#REF!,.,0,0,0,0,,,,2,,2
75,102,Canada,Pacific Coastal Airlines,o C-GPCY,Beechcraft 1900C,UB-45,C-FYZD,0885,1198,2,PWC PT6A-65B,7530,Y19,,#REF!,.,0,0,0,0,,,,2,,2
75,103,Canada,Pacific Coastal Airlines,o C-GAUI,Beechcraft King Air 200,BB-853,C-GADI,1081,0712,2,PWC PT6A-42,5670,Executive,,#REF!,.,0,0,0,0,,,,2,,2
75,104,Canada,Pacific Coastal Airlines,o C-FITS,De Havilland DHC-3T Turbo Otter,90,,0106,0213,1,WA M-601E-11,3628,Passenger,,#REF!,.,0,0,0,0,,,,,,
75,105,Canada,Pacific Coastal Airlines,o C-GCPU,Saab 340-A,140,N140CQ,1288,1207,2,GE CT7-5A2,12700,Y30,,#REF!,.,0,0,0,0,,,,,,
75,106,Canada,Pacific Coastal Airlines,o C-GPCE,Saab 340-A,004,N340SZ,0384,0406,2,GE CT7-5A2,12700,Y30,,#REF!,.,0,0,0,0,,,,,,
75,107,Canada,Pacific Coastal Airlines,o C-GPCG,Saab 340-A,094,N107EA,0887,0206,2,GE CT7-5A2,12700,Y30,,#REF!,.,0,0,0,0,,,,,,
75,108,Canada,Pacific Coastal Airlines,o C-GPCJ,Saab 340-A,006,N360SZ,0584,0306,2,GE CT7-5A2,12700,Y30,Stored,#REF!,.,0,0,0,0,,,,,,
75,109,Canada,Pacific Coastal Airlines,o C-GPCN,Saab 340-A,027,N27XJ,0585,1206,2,GE CT7-5A2,12700,Y33,,#REF!,.,0,0,0,0,,,,,,
75,110,Canada,Pacific Coastal Airlines,o C-GPCQ,Saab 340-A,043,N43SZ,1185,1106,2,GE CT7-5A2,12700,Y33,,#REF!,.,0,0,0,0,,,,,,
75,111,Canada,Pacific Coastal Airlines,o C-GPCF,Shorts 360,3620,VH-MVX,0883,0300,2,PWC PT6A-65R,11793,Y30,,#REF!,.,0,0,0,0,,,,2,,2
75,112,Canada,Pacific Coastal Airlines,o C-GPCW,Shorts 360-Advanced,3622,8Q-OCA,0983,0102,2,PWC PT6A-65AR,12000,Y30,Stored,#REF!,.,0,0,0,0,,,,2,,2
75,114,Canada,Pacific Sky Aviation Inc,"1527 Kittyhawk Road, North Saanich BC V8L 3s8, Canada",Email: information@pacificsky.ca,,,,,,,,,,#REF!,X,0,#REF!,0,0,,,,,,
75,115,Canada,Pacific Sky Aviation Inc,Head: Mr Mike Coughlin,Web: www.pacificsky.ca,,,,,,,,,,#REF!,.,0,0,0,0,,,,,,
75,116,Canada,Pacific Sky Aviation Inc,o C-FHSP,Cessna 441 Conquest II,441-0265,N441E,1281,0807,2,GA 10N-512S,4467,Executive,,#REF!,.,0,0,0,0,,,,,,
76,3,Canada,Pacific Sky Aviation Inc,o C-GDTB,De Havilland DHC-2T Turbo Beaver (SCD),1672,C-GTDB,0470,0811,1,PWC PT6A-27,2430,Passenger,,#REF!,.,0,0,0,0,,,,1,,1
76,4,Canada,Pacific Sky Aviation Inc,o C-GODH,De Havilland DHC-2T Turbo Beaver (SCD),979,,0507,0811,1,PWC PT6A-27,2430,Passenger,,#REF!,.,0,0,0,0,,,,1,,1
76,6,Canada,Pacific Western Helicopters Ltd,"4214 Cowart Road, Prince George BC, Canada",Tel: +1 250 562 7911,Fax: +1 250 561 2697,Email: pgbase@pwh.ca,,,,,,,,#REF!,X,0,#REF!,0,0,,,,,,
76,7,Canada,Pacific Western Helicopters Ltd,,Web: www.pwh.ca,,,,,,,,,,#REF!,.,0,0,0,0,,,,,,
76,8,Canada,Pacific Western Helicopters Ltd,o C-GPWT,Bell 205A-1,30231,N57954,0076,0598,1,TL T53-L-13A,4310,Utility,,#REF!,.,0,0,0,0,,,,,,
76,9,Canada,Pacific Western Helicopters Ltd,o C-GPGM,Bell 206B JetRanger III,3178,N38902,1280,0889,1,RR 250-C20B,1451,Utility,,#REF!,.,0,0,0,0,1,,1,,,1
76,10,Canada,Pacific Western Helicopters Ltd,o C-GPWH,Bell 206B JetRanger III,3131,N81AJ,1080,1291,1,RR 250-C20B,1451,Utility,,#REF!,.,0,0,0,0,1,,1,,,1
76,11,Canada,Pacific Western Helicopters Ltd,o C-GPWI,Bell 206B JetRanger III,2234,N347BE,1177,0499,1,RR 250-C20B,1451,Utility,lsf Trans North Helicopters,#REF!,.,0,0,0,0,1,,1,,,1
76,12,Canada,Pacific Western Helicopters Ltd,o C-GPWJ,Bell 206B JetRanger III,2240,C-GNMM,1177,0395,1,RR 250-C20B,1451,Utility,,#REF!,.,0,0,0,0,1,,1,,,1
76,13,Canada,Pacific Western Helicopters Ltd,o C-GPWR,Bell 206B JetRanger III,2989,N577AH,0480,0498,1,RR 250-C20B,1451,Utility,,#REF!,.,0,0,0,0,1,,1,,,1
76,14,Canada,Pacific Western Helicopters Ltd,o C-GPWY,Bell 206B JetRanger III,3790,C-GIYD,0584,1101,1,RR 250-C20J,1451,Utility,,#REF!,.,0,0,0,0,1,,1,,,1
76,15,Canada,Pacific Western Helicopters Ltd,o C-GPWX,Bell 212,30535,C-FAHX,0072,0304,2,PWC PT6T-3,5080,Utility,,#REF!,.,0,0,0,0,,,,,,
76,16,Canada,Pacific Western Helicopters Ltd,o C-GPWE,Eurocopter AS350 Ecureuil (Soloy SD2),3027,C-GBKV,1197,1199,1,TL LTS101 700D-2,2250,Utility,,#REF!,.,0,0,0,0,,,,,,
76,17,Canada,Pacific Western Helicopters Ltd,o C-GPWK,Eurocopter AS350 Ecureuil (Soloy SD1),1559,N29TV,1183,0902,1,TL LTS101 600A-3A,2100,Utility,,#REF!,.,0,0,0,0,,,,,,
76,18,Canada,Pacific Western Helicopters Ltd,o C-GPWL,Eurocopter AS350 Ecureuil (Soloy SD2),2956,C-GVXT,0397,0207,1,TL LTS101 700D-2,2250,Utility,,#REF!,.,0,0,0,0,,,,,,
76,19,Canada,Pacific Western Helicopters Ltd,o C-GPWV,Eurocopter AS350 Ecureuil (Soloy SD2),1637,ZK-HRQ,1182,0806,1,TL LTS101 700D-2,1950,Utility,,#REF!,.,0,0,0,0,,,,,,
76,20,Canada,Pacific Western Helicopters Ltd,o C-GPWZ,Eurocopter AS350 Ecureuil (Soloy SD2),2314,JA9863,0390,1105,1,TL LTS101 700D-2,2250,Utility,,#REF!,.,0,0,0,0,,,,,,
76,22,Canada,Panorama Helicopters Ltd,"345 Chemin de l’Aeroport, Alma QC G8B 5V2, Canada",Tel: +1 4186683046,,,,,,,,,,#REF!,X,0,0,0,0,,,,,,
76,23,Canada,Panorama Helicopters Ltd,Head: Mr Regis Villeneuve,,,,,,,,,,,#REF!,.,0,0,0,0,,,,,,
76,24,Canada,Panorama Helicopters Ltd,o C-GHUM,Bell 205A-1,30252,HI-733SP,0679,0511,1,TL T53-L-13A,4310,Utility,,#REF!,.,0,0,0,0,,,,,,
76,25,Canada,Panorama Helicopters Ltd,o C-GBKH,Bell 206L-3 LongRanger III,51261,,1288,0804,1,RR 250-C30P,1882,Utility,,#REF!,.,0,0,0,0,,1,1,,,1
76,26,Canada,Panorama Helicopters Ltd,o C-GPVS,Bell 407,53375,N491GM,0500,0512,1,RR 250-C47B,2381,Utility,,#REF!,.,0,0,0,0,,,,,,
76,27,Canada,Panorama Helicopters Ltd,o C-FDYS,Eurocopter AS350B Ecureuil,1057,N211TV,0878,0508,1,TBMCA Arriel 1B,1950,Utility,,#REF!,.,0,0,0,0,,,,,,
76,28,Canada,Panorama Helicopters Ltd,o C-FUWY,Eurocopter AS350B-2 Ecureuil,3033,ZK-HQI,1197,0610,1,TBMCA Arriel 1D1,2100,Utility,,#REF!,.,0,0,0,0,,,,,,
76,29,Canada,Panorama Helicopters Ltd,o C-GBOP,Eurocopter AS350D Astar,1329,N577JM,0980,0710,1,TL LTS101 600A2,1950,Utility,,#REF!,.,0,0,0,0,,,,,,
76,30,Canada,Panorama Helicopters Ltd,o C-GOAV,Eurocopter AS350B-2 Ecureuil,2083,D-HKAS,0288,0810,1,TBMCA Arriel 1D1,2100,Utility,,#REF!,.,0,0,0,0,,,,,,
76,31,Canada,Panorama Helicopters Ltd,o C-GOHP,Eurocopter AS350B-2 Ecureuil,1555,N510HP,1183,0207,1,TBMCA Arriel 1D1,1950,Utility,,#REF!,.,0,0,0,0,,,,,,
76,32,Canada,Panorama Helicopters Ltd,o C-GOVD,Eurocopter AS350 Ecureuil (AllStar),1621,N353LN,0982,0709,1,RR 250-C30M,2100,Utility,,#REF!,.,0,0,0,0,,1,1,,,1
76,33,Canada,Panorama Helicopters Ltd,o C-GRFM,Eurocopter AS350 Ecureuil (Soloy SD2),2601,N151TA,0992,1204,1,TL LTS101 700D-2,2250,Utility,,#REF!,.,0,0,0,0,,,,,,
76,34,Canada,Panorama Helicopters Ltd,o C-GSOX,Eurocopter AS350 Ecureuil (Soloy SD2),9022,N301TH,0500,0808,1,TL LTS101 700D-2,2250,Utility,,#REF!,.,0,0,0,0,,,,,,
76,35,Canada,Panorama Helicopters Ltd,o C-GVED,Eurocopter AS350B-2 Ecureuil,1527,N597M,0182,0410,1,TBMCA Arriel 1D1,2100,Utility,,#REF!,.,0,0,0,0,,,,,,
76,37,Canada,Parachute Montreal,"29 Route 125, Montreal QC J0K 2L0, Canada",,,,,,,,,,,#REF!,X,0,0,0,0,,,,,,
76,38,Canada,Parachute Montreal,o N301CL,De Havilland DHC-6-200 Twin Otter,221,DQ-FIL,1170,1009,2,PWC PT6A-20,5252,Para,lsf Win Win Aviation Inc,#REF!,.,0,0,0,0,,,,2,,2
76,40,Canada,Parachutisme Adrenaline Inc,"881 Rue Lamontagne, St Jerome QC J5L 1T8, Canada",,,,,,,,,,,#REF!,X,0,0,0,0,,,,,,
76,41,Canada,Parachutisme Adrenaline Inc,Web: www.paradrenaline.ca,,,,,,,,,,,#REF!,.,0,0,0,0,,,,,,
76,42,Canada,Parachutisme Adrenaline Inc,o C-FDJN,Cessna 208B Grand Caravan,208B1080,N910HL,0904,0211,1,PWC PT6A-114A,3968,Para,,#REF!,.,0,0,0,0,,,,1,,1
76,44,Canada,Parachutisme Nouvel Air Inc.,"200 Chemin Lebeau, Farnham QC J2N 2P9, Canada",Tel: +1 450 293 8118,Fax: +1 450 293 2700,Email: info@nouvelair.ca,,,,,,,,#REF!,X,0,#REF!,0,0,,,,,,
76,45,Canada,Parachutisme Nouvel Air Inc.,,Web: www.nouvelair.ca,,,,,,,,,,#REF!,.,0,0,0,0,,,,,,
76,46,Canada,Parachutisme Nouvel Air Inc.,o N223AL,De Havilland DHC-6-300 Twin Otter,223,C-FYPP,0669,0606,2,PWC PT6A-27,5670,Para,,#REF!,.,0,0,0,0,,,,2,,2
76,48,Canada,Partner Jet Inc  = PJT,"2450 Derry Road East, Hangar 8, Mississauga ON L5S 1B2, Canada",,Tel: +1 905 676 0092 Fax: +1 905 676 0192,,Email: info@partnerjet.com,,,,,,,#REF!,X,0,#REF!,0,0,,,,,,
76,49,Canada,Partner Jet Inc  = PJT,Head: Mr James Morrison,ICAO: PARTNERJET Web: partnerjet.com,,,,,,,,,,#REF!,.,0,0,0,0,,,,,,
76,50,Canada,Partner Jet Inc  = PJT,o C-GFTL,Bombardier Challenger 605 (CL-600-2B16),5710,G-OCSE,1207,0610,2,GE CF34-3B,21908,Executive,,#REF!,.,0,0,0,0,,,,,,
76,51,Canada,Partner Jet Inc  = PJT,o C-GTOR,Hawker 700A (HS 125-700A),257029/NA0221,N705JH,0478,0398,2,GA TFE731-3,11250,Executive,,#REF!,.,0,0,0,0,,,,,,
76,52,Canada,Partner Jet Inc  = PJT,o C-FIQF,Hawker 800SP (Raytheon Hawker 800SP),258181/NA0450,N861CE,0590,0413,2,GA TFE731-5R-1H,12428,Executive,,#REF!,.,0,0,0,0,,,,,,
76,54,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),"6200 Route de l Aeroport, Saint-Hubert QC, Canada",Tel: +1 450 4430500,Fax: +1 450 4434746,Email: info@pascan.com,,,,,,,,#REF!,X,0,#REF!,0,0,,,,,,
76,55,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),F: 1999,ICAO: PASCAN Web: www.pascan.com,Domestic scheduled carrier linking more than 15 small communities in Quebec. Also offers passenger charter flights throughout Canada.,,,,,,,,,#REF!,.,0,0,0,0,,,,,,
76,56,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-GPEA,ATR 42-300,158,D-BCRP,0989,0312,2,PWC PW120,16700,Y46,,#REF!,.,0,0,0,0,,,,,,
76,57,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-GPEB,ATR 42-300,122,D-BCRO,1288,0612,2,PWC PW120,16700,Y46,122,#REF!,.,0,0,0,0,,,,,,
76,58,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-FFPA,BAe Jetstream 31-Super EP,959,N959AE,0392,1012,2,GA TPE331-12UAR-701H,7350,Y19,,#REF!,.,0,0,0,0,,,,,,
76,59,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-FHQA,BAe Jetstream 31-Super,876,N876CP,0190,0108,2,GA TPE331-12UAR-701H,7350,Passenger,,#REF!,.,0,0,0,0,,,,,,
76,60,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-FIBA,BAe Jetstream 31-Super EP,863,N3126,0989,0212,2,GA TPE331-12UAR-701H,7350,Y19,,#REF!,.,0,0,0,0,,,,,,
76,61,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-FKQA,BAe Jetstream 31-Super,877,N877CP,0190,0708,2,GA TPE331-12UAR-701H,7350,Passenger,,#REF!,.,0,0,0,0,,,,,,
76,62,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-FPSC,BAe Jetstream 31-Super EP,930,,0491,0310,2,GA TPE331-12UAR-701H,7350,Y19,,#REF!,.,0,0,0,0,,,,,,
76,63,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-FPSI,BAe Jetstream 31-Super EP,963,N963AE,0592,0610,2,GA TPE331-12UAR-701H,7350,Y19,,#REF!,.,0,0,0,0,,,,,,
76,64,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-FPSJ,BAe Jetstream 31-Super EP,957,N957AE,0192,1011,2,GA TPE331-12UAR-701H,7350,Y19,,#REF!,.,0,0,0,0,,,,,,
76,65,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-FZVY,BAe Jetstream 31-Super EP,833,N833JX,1288,0312,2,GA TPE331-12UAR-701H,7350,Y19,,#REF!,.,0,0,0,0,,,,,,
76,66,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-GPPS,BAe Jetstream 31-Super EP,961,N961AE,0492,0810,2,GA TPE331-12UAR-701H,7350,Y19,,#REF!,.,0,0,0,0,,,,,,
76,67,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-GPSK,BAe Jetstream 31-Super EP,958,N958AE,0292,1210,2,GA TPE331-12UAR-701H,7350,Y19,,#REF!,.,0,0,0,0,,,,,,
76,68,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-GQJT,BAe Jetstream 31-Super EP,886,N886CP,0390,0708,2,GA TPE331-12UAR-701H,7350,Y12,,#REF!,.,0,0,0,0,,,,,,
76,69,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-GUSC,BAe Jetstream 31-Super EP,902,N242BM,0790,0709,2,GA TPE331-12UAR-701H,7350,Y19,,#REF!,.,0,0,0,0,,,,,,
76,70,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-FHSC,Beechcraft King Air B100,BE-105,N87XX,1180,0106,2,GA TPE331-6-252B,5352,Executive,,#REF!,.,0,0,0,0,,,,,,
76,71,Canada,Pascan Aviation  = P6 / PSC  (aka 3939421 Canada Inc),o C-FIDC,Beechcraft King Air B100,BE-27,N87JE,0777,0605,2,GA TPE331-6-252B,5352,Executive,,#REF!,.,0,0,0,0,,,,,,
